date,time,Was review helpful,Was review unhelpful,Author,Title,Review text,Length of review text,Was review positive
20071229,07:14,19,124,Ганс Касторп,,"Мне этот фильм много раз советовали посмотреть - причем даже люди, которые в особой любви к кино не были замечены. Вот вчера посмотрел. Фильм неплохой - это правда, но называть его шедевром я бы не стал. Виной тому Дарабонт, который отличается своей склонностью к морализаторству. Оно у него получается не то, чтобы натужным, но уж слишком очевидным. Фильм идеален по структуре, закольцован и т. д. , но из-за этого все основные события можно предсказать минут за 15 до появления на экране. 

Но это можно было бы простить, если бы не было последних 30 минут фильма. Мне это напомнило какой-то шуточный фильм - там рассказчик говорит:  'Не волнуйтесь, я сам смотрел Властелина колец, поэтому у нас не будет 20-ти кульминаций, я просто скажу вам до свидания '. В концовку этого неплохого фильма втиснули ВСЕ, что только можно было втиснуть - и 'Brooks was here ' в гостинице (ах, какая неожиданность), и все эти размышления в духе 'надежда - самое лучшее чувство '. Но фокус то в том, что все это было в фильме и так сказано, зачем относиться к зрителям как к трехлетним дебилам, 20 минут рассусоливая очевидное? В общем, фильм на 9, а концовка откровенно слабенькая.",1167,good
20071222,13:34,48,11,DavidHayter,"Есть птицы, которых не удержишь в клетке","Прошло уже достаточно времени с момента премьеры этого фильма, однако его популярность не умолкает и сейчас. Фильм снят не просто качественно, как принято говорить о хорошем фильме, а с душой. Этот фильм навсегда останется в памяти зрителей, посмотревших его. И даже спустя много лет мы будем показывать фильм «Побег из Шоушенка» своим детям.

Перед вами экранизация повести Стивена Кинга «Рита Хэйроут и побег из Шоушенка», удостоенная шести номинация на Оскар, в том числе и за лучший фильм года. Этот фильм можно назвать дебютом талантливейшего режиссера Фрэнка Дарабонта. Хоть это и был его второй фильм, все же именно в нем он применил свой режиссерский талант и снял феноменальный фильм. Однако, феноменальность фильма кроется не столько в каких-то режиссерских выкрутасах, сколько в душевности и трогательности в этом фильме. Стивен Кинг славился своими романами в жанре ужасов. И этот фильм, снятый по его роману тоже оказался не обделен этим атрибутом. Но здесь совсем другие ужасы. Здесь нет крови, здесь нет разрывающихся частей тела. Здешний ужас совсем другой. Фильм «Побег из Шоушенка» соединяет в себе ужасы (тюремной жизни) и фантастику (побега). Но самое главное – внутренняя драма фильма.

В этом фильме нет ни одного персонажа, к которому зритель бы был равнодушен. К каждому он испытывает какие-то эмоции, которые, кстати, все время изменяются. Фильм затрагивает большой промежуток времени, и персонажи, как и в жизни, имеют привычку изменяться. Так и зритель будет постоянно менять мнения о здешних персонажах. Здесь отлично показаны взаимоотношения тюремщика и заключенного. Этот фильм еще раз доказывает ту истину, что хорошие люди встречаются и по ту сторону решетки, просто однажды они оступились.

Наконец, главный козырь фильма – сценарий. Сюжет несмотря на категорическую неспешность воспринимается еще динамичнее какого-нибудь блокбастера. В сценарии нет пустых фраз, лишних диалогов, ненужных диалогов, и в этом его главная заслуга. А финал ошарашит любого зрителя, ничего ранее не слышавшего об этом фильме. Даже пересматривая этот фильм, чувство восхищения персонажами не исчезает, и это главная заслуга для фильма. Зрителю интересно пересматривать эту картину, даже зная концовку. Просто интересно наблюдать и вновь переживать сюжетные перипетии данного фильма. Ведь он вмещает не только историю побега, но и отлично описывает тюремную жизнь, отношения между людьми, глубокую драму главного героя и еще много чего другого.

Но чтобы во все это зрителю действительно верилось, актеры данного фильма выложились на полную катушку. В каждого персонажа веришь без всяких сомнений, сопереживаешь ему. Здесь нет ни одного картонного персонажа, все они – часть этого ужасного места под названием «Шоушенк». Особенную благодарность следует высказать центральному актерскому дуэту – Тим Роббинс, Морган Фримен. Они буквально притягивают все внимание зрителей к себе. Они показывают внутренние, душевные изменения их персонажей, что не каждому актеру дано.

Я посмотрел этот фильм только недавно и теперь очень жалею, что не сделал этого раньше, когда он только вышел. После просмотра фильма есть о чем задуматься: здешние рассуждения о свободе, о тюремном человеке, о жизни – все это захватывает похлеще какой-нибудь экшн-сцены из пресловутого блокбастера, так что не бойтесь этот фильм смотреть. Это великое кинособытие, которое вы просто не имеете права пропускать, если вы, конечно, интересуетесь кино-искусством.

10 из 10",3455,good
20071219,03:56,30,10,NikolasDreik,История справедливого побега,"О фильме:
Вообще фильмы о тюрьме производят весьма тягостное и неприятное впечатление, каким бы хеппи эндом они не закончились, вспомнить хоть 'Взаперти ' со Сталлоне, или другие однотипные фильмы, но вот картины Френка Дарабонта производят весьма большое и хорошее впечатление, что 'Побег из Шоушенка ', что более поздняя работа - 'Зеленая миля '. Обе они про тюрьму, про середину двадцатого века и про то, что есть хорошие люди встречаются везде, даже по ту сторону решетки.
Вообще фильм несмотря на весь трагизм сюжета наполнен теплотой и внутренним позитивным настроем, что на мой взгляд очень хорошо.

Сценарий:
Фильм снят по мотивам произведения Стивена Кинга. Вообще, я признаюсь, что не зря сюжет этого фильма считается одним из лучших в истории кинематографа.

Повествует же он о том, как человека посадили пожизненно за преступление, которого он не совершал, и как жизнь в тюрьме изменила его. Вообще там всё не так просто, но спойлеров от меня не дождетесь. 

Актерская игра:
Замечательно. Другого слова я не нашел на протяжении двух с половиной часов просмотра. Кроме того, очень грамотен подбор актеров на роли. Порадовало.

Итог:
Тем, кто ещё не смотрел - смотреть обязательно, остальным - хорошее кино и пересмотреть не грех.
Кстати, немалый вклад в атмосферность фильма внес симфонический саундтрек за авторством Томаса Ньюмана.",1354,good
20071201,23:16,74,18,Emmaus,Главное в жизни - это стремление жить,"Я всегда уважал Стивена Кинга и считаю его одним из величайших писателей в истории, и каждое из написанных им произведений — это шедевр! Таковым является и 'Побег из Шоушенка '!

После прочтения книги мне очень захотелось посмотреть, как позже я убедился, великолепную экранизацию в исполнении Фрэнка Дарабонта. Я могу сказать, что Дарабонт прекрасно прочувствовал и передал в фильме ту атмосферу, которая присутствует в тюремной жизни, ту безысходность, которая существует в жизни приговоренных к пожизненному заключению там, откуда практически не возможно сбежать, и где ты вынужден смиряться с чуждыми тебе законами жизни, законами которые могут сломать даже самого стойкого человека! Но никогда не стоит забывать о том, что даже в тюрьме можно жить и жизнь на этом не заканчивается. Главное чтобы в твоем сердце и сознании присутствовали такие вещи как надежда на освобождение, вера в будущее, и бесконечное стремление жить и никому не подчиняться!

Фрэнк Дарабонт создал великий шедевр, с великолепной игрой артистов и прикрасной продуманностью сюжета! Конечно он позволил себе сделать некоторые отступления от оригинального творения Кинга, но это по моему, только предало фильму большего колорита!

Тим Роббинс великолепно исполнил порученную ему роль Энди Дюфрейна, роль мягкого, умного, целеустремлённого и что более всего невероятно - хладнокровного человека, ведь остаться хладнокровным в тюрьме, где всё складывается против тебя, практически не возможно - а он смог. Морган Фримен не требует никаких описаний, он просто гениальный актер! Гениальное творение, гениального режиссёра!

P. S.  'Побег и Шоушенка ' это классика мирового кинематографа!

10 из 10",1672,good
20071123,20:03,22,12,РэйнМэн,"Беги, Энди, Беги!","Бывают такие моменты в жизни, что понимаешь-хуже быть уже не может ни у кого. Такие моменты были и у меня. Но после просмотра 'Побега из Шоушенка ' я понял-что хуже может быть только у тех, кто на экране. У тех, у кого отняли всю жизнь и свободу. Те, которые в буквальном смысле живут по закону джунглей и борятся за выживание. Если ты молод и попал в Шоушенк, то все-считай твоя жизнь в кармане у надзирателей и директора тюрьмы. Каждый, кто спрашивает:  'А за что тебя посадили? ' услышит ироничный ответ:  'Да так, адвокат поимел '. В этом заведении очень много всяких странных личностей, которые норовят тебя либо поиметь, либо задеть или просто убить. Именно сюда попал Энди Дюфрейн... Кто такой Энди? Банкир, который попал в тюрьму за жесточайшее убийство жены и гольфиста-любовника. И попал он в Шоушенк, место, в котором вместо денег-сигареты, где можно попросить человека об услуге и он ее выполнит и достанет все, что угодно, в место в котором царит коррупция и беззаконие. Как же можно здесь выжить? Можно. Благодаря надежде и вере в себя, вере в будущее, если ты, конечно, не пессимист и не считаешь, что жизнь для тебя здесь кончена.

Режиссер Фрэнк Дарабонт снял, без тени сомнения, культовое кино. В нем каждый человек без исключения может найти что-то свое и вынести из этого урок. Он снял настолько чистое и светлое кино, после просмотра которого...хочеться жить. Радоваться каждой секунде, проведенной на свободе. Жить и не думать о плохих вещах, которые случались с тобой. Жизнь-самое главное, что нам дано и надо прожить ее с пользой и максимальным удовольствием, чтобы потом, перед смертью об этом ни капельки не жалеть.

Энди Дюфрейн-Тим Роббинс
Безусловно, лучшая роль в его фильмографии. Мне его персонаж очень понравился. При прибытии в тюрьму он не запаниковал, как остальные заключенные, а просто спокойно прожил месяц 'особняком ' и только тогда влился в коллектив. Спокойные эмоции, задумчивый взгляд и просто замечательные слова, которые он произносит, делают из него персонажа, который запоминается надолго.

Эллис Бойд 'Рэд ' Рэддинг-Морган Фриман
Второй главный персонаж фильма. Человек, который может достать, что угодно и где угодно. Персонаж, которому можно посочувствовать. Проведя 20 лет до Дюфрейна и 20 лет, после того, как Дюфрейн прибыл на место заключения, он стал тихим, аккуратным и более хитрым, чем когда либо. Тоже, лучшая роль Фримана в его фильмографии. Он мне понравился, чуть меньше, чем Роббинс, но тоже сыграл на очень приличном уровне. Достаточно убедится в его проффесиональном уровне, послушав финальный монолог.

Капитан Байрон Т. Хэдли-Клэнси Браун
Жестокий и не знающий пощады надзиратель. Актер со своей ролью справился прекрасно-много ругани, много гнева, много отрицательных качеств.

Томми-Джил Беллоуз
Персонаж, который появляется в середине фильма, но ненадолго. Понравился только тем, что натолкнул Дюфрейна на идею, за что ему огромное спасибо.

Брукс Хэтлен-Джеймс Витмор
Персонаж, который в Шоушенке всех пережил, при нем, по его словам, сменилось шесть директоров. Персонаж, который заставляет пустить слезу. Его очень жалко, соочувствуешь чем можешь, но все равно каждого настигает свой конец, в том числе и его.

Боб Гантон-Уорден Нортон
Самый отрицательный и противный герой во всем фильме. Алчный, своенравный и грубый. Сыграл хорошо, превосходно показал свои последние минуты.
А также еще большая компания заключенных, которая поддерживала и помогала во всех идеях Дюфрейна, тоже достойна похвалы.

Антураж тюремных помещений добавляет фильму мрачности и положения безысходности. Некоторые моменты фильма передают настроение того времени с особой точностью и добавляют фильму реалистичности и ощущения некой ностальгии. Единственный минус, но он маленький- перебор с диалогами, но это не так важно.

Итого: шедевр на времена

10 из 10",3821,good
20070718,08:22,956,72,valentine,Занимайся жизнью или занимайся смертью,"«Побег из Шоушенка» - экранизация романа Стивена Кинга. На мой взгляд, это редчайший случай, когда фильм превзошел литературное произведение, по которому он был создан. И, несмотря на то, что ставить картину по книге всегда сложно, это тот пример, когда фильм не только прекрасно передал на экране всю глубину, атмосферу и смысловой стержень замечательной книги Кинга, но и оказался сильнее, превзойдя оригинал. 

Конечно, это фильм не столько о самом побеге и ужасах тюремной жизни, сколько, прежде всего, о человеческих отношениях и людях. И, в первую очередь, это история замечательного человека, рассказанная нам его другом.

Энди Дюфрейн – молодой человек, работавший вице-президентом крупного банка и несправедливо осужденный на два пожизненных заключения за убийство своей жены и любовника. По сути, он - человек, попавший в чудовищную и ужасную ситуацию. И, пройдя через все круги ада и проверку на гордость, мужество, упорство, честь и человеческое достоинство, он не сломался и не потерял человеческий облик, показав себя цельной и сильной личностью с несгибаемым волевым стержнем внутри, невероятным характером и силой духа. Всегда спокойный, уравновешенный, сдержанный, благородный и очень интеллигентный – всего лишь раз он проявил накопившиеся внутри эмоции, потерял контроль и вышел из себя. 

Энди - это, прежде всего, человек слова и дела. И одно с другим у него не расходится. Прекрасно характеризуют Энди множество отличных эпизодов: его невероятное упорство и настойчивость, с которыми он писал письма в сенат штата с просьбой выделить финансирование для тюремной библиотеки, его желание всегда помочь другому человеку, его диалог с Томми, которому он помог получить образование: «Я не занимаюсь неудачниками». – «Я – не неудачник». – «Хорошо. Потому что, если мы с тобой начнем, то пойдем до конца – на сто процентов». И, конечно, знаменитая сцена на крыше и сцена, где он, запершись в кабинете директора, включил через громкоговоритель старую грампластинку. Этот момент здорово показывает чувства, которые убивает тюрьма и которые Энди вернул многим заключенным, в том числе и своему другу: 

«Я понятия не имею, о чем пели те две итальянки в тот день – по правде, я и не хотел знать. Некоторые вещи лучше не знать. Хотелось думать, что они пели о чем-то настолько прекрасном, что это нельзя выразить словами и что чаще заставляет биться сердце. Эти голоса были чище и светлее тех, о которых мечтали в этом сером, убогом месте. Как будто две птички влетели и своими голосами развеяли стены наших клеток, и на короткий миг каждый человек в Шоушенке почувствовал себя свободным».

Шоушенк – величественное, готическое и мрачное здание тюрьмы, не оставляющее надежды человеку после того, как за ним закрывается дверь камеры. Но многим заключенным, включая Рэда, Энди показал другой взгляд на жизнь и подарил такую вещь, как надежда, потому что, в конце концов, Рэд понял, что выбор у каждого человека прост – жить или умереть, но если ты живешь, то нужно идти до конца и, как бы тяжело тебе ни было, всегда можно оставаться человеком, ведь даже в тюрьме можно быть свободным и нельзя терять надежду: «Это то, чего они никогда не смогут отнять у нас. Это частичка твоей души и она принадлежит только тебе». 

Рэд – самый близкий и самый лучший друг Энди – не менее драматический персонаж. Получивший пожизненный срок за убийство и проведший в Шоушенке большую часть своей жизни, он стал «тюремным» человеком. Человеком, для которого жизнь имеет смысл лишь в контексте тюрьмы, ведь здесь он – личность и значимый человек, который может все достать, а на свободе он – никто и никому не нужен, а для того, чтобы приобрести что-то, достаточно открыть телефонный справочник. Рэд очень точно сформулировал мысль о лишении человека свободы и о его жизни в тюрьме: «Это странные стены: сначала ты их ненавидишь, потом к ним привыкаешь, а потом начинаешь от них зависеть». 

Рэд – неглупый человек, но он не осмыслил и не понял до конца смысл своего пребывания в тюрьме и своего «перевоспитания», поэтому каждые десять лет он и получает отказ от комиссии по досрочным освобождениям. И лишь с приходом Энди, он начинает потихоньку меняться и переосмысливать свою жизнь и, в конце концов, он в полной мере понимает подлинный смысл слова «надежда» и отсутствие смысла в слове «перевоспитание» и приходит к пониманию и прощению. Прощению самого себя.

Замечательно и виртуозно показаны отношения между этими двумя людьми, начавшиеся с взаимного недоверия и неприязни: «Говорят, ты держишься особняком ото всех. Думаешь,  твое дерьмо пахнет лучше, чем у остальных?» и завершившиеся переоценкой жизненных ценностей и самого себя и настоящей дружбой длиною в целую жизнь, которая выдержала все испытания и преграды. 

Актерская игра в фильме достойны высшей похвалы – все актеры отыграли отлично, а Тим Роббинс и Морган Фриман прекрасно и очень органично сыграли своих персонажей, продемонстрировав очень сильную и глубокую игру и тот факт, что Тим Роббинс даже не был номинирован на «Оскар» - вопиющая несправедливость со стороны Академии. 

Помимо двух главных ролей, в картине много очень интересных второстепенных персонажей: юморной Хейвуд в исполнении Уильяма Сэдлера, молодой охламон и мистер рок-н-рол Томми, Брукс – очень глубокий и драматический персонаж, про которого Фрэнк Дарабонт сказал: «Это очень трогательный персонаж и если он оставит вас равнодушным, значит, в этой жизни вас уже не тронет ничто». 

Ну и, конечно, блестяще сыгранные отрицательные роли Клэнси Брауна и Боба Гантона, который великолепно сыграл начальника тюрьмы Нортона. Его персонаж – страшный, хладнокровный и совершенно безжалостный человек, который верит лишь в две вещи – дисциплину и библию. Последнее очень символично, поскольку, считая себя «пастырем заблудших овец и светом мира», он бездушно и жестоко разрушает то, что Энди строит годами, но, в конце концов, библейский текст на картине в его кабинете оказывается пророческим: «И суд его грядет, и он будет быстрым и скорым».

Помимо прекрасной актерской игры и блестящей сценарной адаптации книги Кинга, многие вещи из которой можно смело цитировать, стоит отметить и техническое исполнение картины: замечательная операторская работа и монтаж, хороший звук и работа художника, ненавязчивая, драматичная, мягкая и очень красивая музыка Томаса Ньюмана, прекрасно вписывающаяся в стилистику фильма и передающая атмосферу Шоушенка, внутренний мир и переживания персонажей картины. 

В фильме много  запоминающихся, местами шокирующих, а местами очень трогательных моментов, когда слез сдержать практически нельзя, и, конечно же, нельзя не сказать о невероятно сильной сцене побега из тюрьмы, показанной глазами Энди и рассказанной Рэдом – она пробирает до мурашек по коже и вызывает восхищение триумфом человеческого мужества и силы духа:

«Полицейские прочесали все вокруг, но единственное, что им удалось найти – это комплект тюремной робы, кусок мыла и старый молоток по камню, стертый до основания. Когда-то я думал, что уйдет лет шестьсот, для того, чтобы вырыть им тоннель. Энди сделал это меньше, чем за двадцать. Я представляю иногда, как он едет в собственной машине с опущенным верхом и тогда не могу сдержать улыбки. Энди Дюфрейн, прошедший через реку дерьма и вышедший чистым с другой стороны, Энди Дюфрейн, направляющийся к Тихому океану»...

Финал фильма, несмотря на предшествующее трагическое повествование, является оптимистичным и жизнеутверждающим, а один из завершающих моментов картины невероятно красив и является одной из самых сильных сцен в фильме: Рэд идет по полю к огромному, раскидистому дубу, светит мягкий солнечный свет, кругом красивая природа, трава, цветы и летящие к ним пчелы, гармония и тишина, нарушают которую лишь щебетание птиц и стрекот насекомых в траве – это место очень похоже на рай. 

И заключительный диалог, когда Рэд читает письмо от Энди: «Помни, Рэд, надежда – хорошая вещь, может быть самая лучшая из всех, а хорошие вещи не умирают». - «Надеюсь, мне удастся пересечь границу. Надеюсь увидеть своего друга и пожать ему руку. Надеюсь, что Тихий океан такой же синий, каким я видел его в своих снах. Я надеюсь».

Я видел этот фильм бессчетное количество раз, но при каждом новом просмотре я смотрю его, словно впервые, заново переживая события и переосмысливая жизнь вместе с героями картины. После просмотра я еще долго сижу в задумчивости со слезами на глазах, а на душе в этот момент царит спокойствие и какая-то легкость. Этот фильм должен посмотреть каждый и даже если вы не киноман, после просмотра «Побега из Шоушенка» вы многое для себя приобретете. Одна из самых сильных и глубоких драм в истории кино.

10 из 10",8636,good
20070708,00:22,84,14,1985,,"Фильм действительно феноменален и гениален, но его феноменальность и гениальность, по-моему, прежде всего состоит в идее, которая пронходит через весь фильм. Это идея своего рода – тонкая нить, про которую нельзя никогда забывать. В этой идее отображены, по-моему, одни из самых главных вещей в мире: стремление к свободе (мечте), вера в себя и свои силы. Главный герой показывает, что никогда нельзя отчаиваться, как бы безнадежно не выглядела ситуация в которую ты попал (в этом, на мой взгляд, состоит бессмертность и современность, как фильма так и книги Стивена Кинга).

Конечно нельзя не выделить актерскую игру Тима Роббинса и Моргана Фримана. Герой Роббинса не просто человек, которому удался побег из одной из самых неприступных тюрем (хотя это ему удалось с блеском!), он человек в своем роде бросивший вызов системе правосудия, которая, несмотря на всю свою якобы совершенность иногда допускает роковые ошибки и конечно же он тот, который показал, что даже за самыми крепкими и высокими стенами в неволе, можно чувствовать себя свободным человеком и быть таковым, насколько это возможно. 

Его персонаж, на первый выглядевший как «тюфяк», на самом деле оказывается очень сильной и цельной личностью, который не теряет веру в себя и способен сам управлять своей судьбой, и который не боится принимать решения и идти на поступки от которых зависит вся его дальнейшая судьба и жизнь. Очень характерно и то, что своей силой воли он заражает и других окружающих и общение с ним меняет людей навсегда.


Морган Фриман играет же так называемого «тюремного человека», т.е. человека который большую часть своей жизни провел за решеткой. В тюрьме он значимая фигура, он может достать все, что вам необходимо; здесь у него авторитет и уважение. Несмотря на все это он все же мечтает о свободе (как наверное и каждый отбывающий срок человек), однако, с годами надежда потихоньку ускользает от него и с каждым собеседованием о досрочном освобождении он теряет ее (надежду) все больше и больше. 

С момента попадания в тюрьму Энди Дюфрейна (Т. Роббинса) и их знакомства, он начинает меняться – незаметно для окружающих и даже для себя самого, ведь эти изменения внутренние, своего рода душевные и мировоззренческие. Вообще, созданный Фриманом образ очень глубок и содержателен – очень характерны сцены переосмысления своей жизни и понимание своих  ошибок прошлых лет, собственно те из-за которых он и попал сюда. 

Также нельзя не отметить его голос за кадром, комментирующий всю историю. Очень выразительны и великолепны фразы в конце фильма (не буду раскрывать, кто захочет, тот посмотрит, и надеюсь, также оценит).


",2622,neutral
20070619,20:19,26,67,andros,,"Посмотрел наконец столь легендарный фильм. Все-таки постоянное присутствие в ТОП5 на КП и 2-е место на имдб о чем-то говорят.

Что ж, картина действительно качественная. Интересная, хотя и затянутая история, хорошая игра актеров, в особенности Фримана. Очень красиво и романтично снята концовка.

И всё-таки очень уж интеллектуальная тюрьма получилась у Дарабонта. Главный персонаж получил 2 пожизненных, а вокруг него сплошь 'хорошие' зэки. И 'сестры' смотрятся на их фоне изгоями, хотя по идее должны составлять большинство. Впрочем, высокий уровень естественности мешал бы восприятию основной идеи фильма.

Главный недостаток кино - нет изюминки. Всё вроде бы на высоком уровне, но в то же время не гениально, нечего выделить.

8 из 10.",743,good
20070429,13:31,113,32,Jewel,,"Бывают фильмы по-настоящему светлые, после которых на душе становится легко и свободно, такие, которые заставляют верить в добро и силу человеческого духа. «Побег из Шоушенка» - именно такой фильм.

Смотрела его внушительное количество раз. Не надоедает, ну ни капельки! Каждый эпизод смотрится на одном дыхании. И на то есть множество причин. Одной из главных является изумительная актерская игра. Тим Роббинс и Морган Фримен составили потрясающий экранный дуэт. В их героев буквально влюбляешься. Они доказывают, что в тюрьме в первую очередь надо оставаться человеком. Некоторым это удается, а некоторые, к счастью, получают то, что заслужили за свои омерзительные поступки. 

«Есть птицы, которых не удержишь в клетке». Энди Дюфрейн был именно таким. Не устаю восхищаться этим персонажем. Выстоять все, сохранить надежду, при этом даря ее другим, а главное, до самого конца стремиться к свободе – это невероятно трудно, но Энди смог. Он подарил веру окружавшим его людям, сделал их капельку лучше, следовательно, сделал лучше мир вокруг себя. Его упорству и стойкости можно позавидовать. За этого его, как минимум, можно уважать. Не понимаю я его жену. Но сейчас не об этом.

 Герой Моргана Фримена другой. Он сидит за дело и понимает это. Но он как раз из тех людей, что смогли сохранить человечность даже в таких порой совершенно бесчеловечных условиях, и, кроме того, измениться в лучшую сторону. За это я и люблю его персонажа. Кто знает, что случилось бы с Энди, если бы не Рэд?

Хотелось бы отметить остальных героев этой истории. Все актеры, без исключения, справились со своей задачей «на ура». Кто-то вызывает сочувствие (тут я  в первую очередь имею ввиду Брукса Хатлена с его птичкой – невероятно трогательный старичок, который вызывает искреннее сострадание), кто-то улыбку, кто-то презрение… 

Не стоит забывать, что, конечно же, фильм мог бы не и получиться без замечательной режиссерской работы. Фрэнк Дарабонт взялся за отличный рассказ Стивена Кинга и сделал из него великолепный фильм. Что тут сказать? Умница! Тандем у Дарабонта и Кинга вышел отличный. Видимо, они это и сами прекрасно поняли, в результате экранизировав «Зеленую милю».

Вообще, «Побегу из Шоушенка», на мой взгляд, долго можно петь дифирамбы. Фильм этого достоин. Пожалуй, остановлюсь и скажу лишь, что эта картина занимает и всегда будет занимать место одной из моих любимых. Поистине шедевр, который не теряет актуальности со временем. Это фильм стоит посмотреть всем.",2467,good
20070311,21:29,37,18,Luter,,"Гениальный фильм, высокий рейтинг оправдан на все 100%, какая атмосфера какой профессиональный подбор актеров. Сюжет фильма достаточно прост, но как все это снято, по-настоящему качественный, поучительный фильм. Зритель весь фильм на себе ощущает все переживания главного героя.  

Морган Фримен на высоте. При всем при этом удалось уложится в такой скромный бюджет. Это действительно один из лучших фильмов которые я смотрел, при том, что драма не мой любимый жанр. Шедевр!

10 из 10",486,good
